
[<DEVICE ID 1bfa:0498 on Bus 001 Address 006>]
[u'USB::7162::1176::0000803::INSTR']
Metrolab Technology SA,THM1176-MF,0000803,elD1-prD0-fw3.1
Ranges: 0.1 T,0.3 T,1 T,3 T
Auto ranging? ON
---------------------------------------------------------------------------------
                         date           Bx           By           Bz          |B|
   2018-07-18 14:30:49.370973   +0.00522 T   -0.00490 T   -0.00413 T   0.00827 T
   2018-07-18 14:30:51.460549   +0.00506 T   -0.00430 T   -0.00386 T   0.00768 T
   2018-07-18 14:30:53.550582   +0.00537 T   -0.00504 T   -0.00413 T   0.00844 T
   2018-07-18 14:30:55.640077   +0.00537 T   -0.00428 T   -0.00413 T   0.00801 T
   2018-07-18 14:30:57.729764   +0.00395 T   -0.00399 T   -0.00372 T   0.00674 T
   2018-07-18 14:30:59.819445   +0.00506 T   -0.00399 T   -0.00413 T   0.00765 T
   2018-07-18 14:31:01.909167   +0.00425 T   -0.00337 T   -0.00343 T   0.00642 T
   2018-07-18 14:31:03.998931   +0.00506 T   -0.00355 T   -0.00372 T   0.00721 T
   2018-07-18 14:31:06.088686   +0.00538 T   -0.00416 T   -0.00372 T   0.00775 T
   2018-07-18 14:31:08.178136   +0.00455 T   -0.00379 T   -0.00340 T   0.00683 T
   2018-07-18 14:31:10.267810   +0.00519 T   -0.00471 T   -0.00396 T   0.00805 T
   2018-07-18 14:31:12.357478   +0.00471 T   -0.00380 T   -0.00327 T   0.00688 T
   2018-07-18 14:31:14.447243   +0.00471 T   -0.00425 T   -0.00327 T   0.00714 T
   2018-07-18 14:31:16.537186   +0.00471 T   -0.00366 T   -0.00341 T   0.00687 T
   2018-07-18 14:31:18.626671   +0.00442 T   -0.00323 T   -0.00370 T   0.00661 T
   2018-07-18 14:31:20.716399   +0.00521 T   -0.00369 T   -0.00357 T   0.00731 T
   2018-07-18 14:31:22.806072   +0.00455 T   -0.00335 T   -0.00409 T   0.00698 T
   2018-07-18 14:31:24.895774   +0.00471 T   -0.00349 T   -0.00382 T   0.00700 T
   2018-07-18 14:31:26.985852   +0.00550 T   -0.00469 T   -0.00382 T   0.00818 T
   2018-07-18 14:31:29.075563   +0.00377 T   -0.00322 T   -0.00411 T   0.00644 T
   2018-07-18 14:31:31.164987   +0.00441 T   -0.00412 T   -0.00426 T   0.00739 T
   2018-07-18 14:31:33.254660   +0.00474 T   -0.00339 T   -0.00386 T   0.00699 T
   2018-07-18 14:31:35.344401   +0.00505 T   -0.00369 T   -0.00330 T   0.00707 T
   2018-07-18 14:31:37.434122   +0.00470 T   -0.00364 T   -0.00284 T   0.00659 T
   2018-07-18 14:31:39.523709   +0.00613 T   -0.00347 T   -0.00395 T   0.00808 T
   2018-07-18 14:31:41.613525   +0.00443 T   -0.00354 T   -0.00372 T   0.00678 T
   2018-07-18 14:31:43.703201   +0.00454 T   -0.00423 T   -0.00422 T   0.00750 T
   2018-07-18 14:31:45.792949   +0.00489 T   -0.00397 T   -0.00301 T   0.00698 T
   2018-07-18 14:31:47.882759   +0.00438 T   -0.00349 T   -0.00353 T   0.00662 T
   2018-07-18 14:31:49.972241   +0.00408 T   -0.00366 T   -0.00314 T   0.00632 T
   2018-07-18 14:31:52.062068   +0.00440 T   -0.00366 T   -0.00452 T   0.00729 T
   2018-07-18 14:31:54.151649   +0.00521 T   -0.00383 T   -0.00344 T   0.00732 T
   2018-07-18 14:31:56.241350   +0.00535 T   -0.00411 T   -0.00410 T   0.00789 T
   2018-07-18 14:31:58.331102   +0.00565 T   -0.00484 T   -0.00436 T   0.00862 T
   2018-07-18 14:32:00.420659   +0.00454 T   -0.00408 T   -0.00422 T   0.00742 T
   2018-07-18 14:32:02.510527   +0.00502 T   -0.00364 T   -0.00313 T   0.00695 T
   2018-07-18 14:32:04.600110   +0.00411 T   -0.00370 T   -0.00317 T   0.00637 T
   2018-07-18 14:32:06.689832   +0.00535 T   -0.00411 T   -0.00438 T   0.00804 T
   2018-07-18 14:32:08.779503   +0.00505 T   -0.00413 T   -0.00398 T   0.00764 T
   2018-07-18 14:32:10.869825   +0.00454 T   -0.00378 T   -0.00366 T   0.00695 T
   2018-07-18 14:32:12.958935   +0.00426 T   -0.00414 T   -0.00468 T   0.00756 T
   2018-07-18 14:32:15.048903   +0.00520 T   -0.00441 T   -0.00410 T   0.00796 T
   2018-07-18 14:32:17.138365   +0.00394 T   -0.00397 T   -0.00370 T   0.00671 T
   2018-07-18 14:32:19.227961   +0.00567 T   -0.00366 T   -0.00355 T   0.00763 T
   2018-07-18 14:32:21.317659   +0.00394 T   -0.00308 T   -0.00301 T   0.00584 T
   2018-07-18 14:32:23.407468   +0.00488 T   -0.00381 T   -0.00370 T   0.00721 T
   2018-07-18 14:32:25.497112   +0.00502 T   -0.00439 T   -0.00396 T   0.00776 T
   2018-07-18 14:32:27.586833   +0.00473 T   -0.00459 T   -0.00384 T   0.00763 T
   2018-07-18 14:32:29.676511   +0.00363 T   -0.00430 T   -0.00344 T   0.00660 T
   2018-07-18 14:32:31.766228   +0.00440 T   -0.00306 T   -0.00341 T   0.00635 T
   2018-07-18 14:32:33.856377   +0.00470 T   -0.00454 T   -0.00422 T   0.00778 T
   2018-07-18 14:32:35.945592   +0.00549 T   -0.00438 T   -0.00394 T   0.00805 T
   2018-07-18 14:32:38.035568   +0.00581 T   -0.00379 T   -0.00340 T   0.00773 T
   2018-07-18 14:32:40.124999   +0.00441 T   -0.00474 T   -0.00412 T   0.00767 T
